userId,group,blockNo,trialNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,shubNoOld,shubNoNew
c237d7a64f2a406c94978dd76273d868,1,1,1,2,2,2,0,0,2,2,2,0,1,20,14
c237d7a64f2a406c94978dd76273d868,1,1,2,0,2,2,2,0,0,3,2,2,0,14,18
c237d7a64f2a406c94978dd76273d868,1,2,3,0,3,0,0,3,0,3,1,0,3,18,12
c237d7a64f2a406c94978dd76273d868,1,2,4,0,0,0,0,0,0,0,0,1,0,12,6
c237d7a64f2a406c94978dd76273d868,1,3,5,0,2,2,2,3,0,3,2,2,3,6,10
c237d7a64f2a406c94978dd76273d868,1,3,6,0,3,2,0,3,0,3,2,1,3,10,4
02d2024679c34f70b059efc5a43b0b73,1,1,1,6,6,0,0,0,6,6,0,1,0,20,14
02d2024679c34f70b059efc5a43b0b73,1,1,2,0,0,6,6,6,0,0,6,4,6,14,8
c237d7a64f2a406c94978dd76273d868,1,4,7,0,3,2,2,3,0,5,2,2,3,4,11
c237d7a64f2a406c94978dd76273d868,1,4,8,0,3,2,2,3,0,5,2,2,3,11,18
02d2024679c34f70b059efc5a43b0b73,1,2,3,6,6,0,1,0,6,5,0,1,0,8,2
02d2024679c34f70b059efc5a43b0b73,1,2,4,0,0,6,4,6,0,0,6,2,6,2,2
b130f76ad4324a4ab9902a9b1066b972,1,1,1,1,0,0,0,0,1,0,0,1,0,20,14
b130f76ad4324a4ab9902a9b1066b972,1,1,2,0,1,0,0,1,0,1,1,0,1,14,8
02d2024679c34f70b059efc5a43b0b73,1,3,5,0,0,6,2,6,0,1,6,2,6,2,3
02d2024679c34f70b059efc5a43b0b73,1,3,6,0,0,6,3,6,0,0,6,2,6,3,2
a3fb932964644789be3f3b0321683af4,1,1,1,1,0,0,0,0,1,0,0,1,0,20,14
b130f76ad4324a4ab9902a9b1066b972,1,2,3,3,0,0,3,0,3,0,0,2,0,8,2
162b817ff6334732bb895841ba865327,1,1,1,2,2,2,2,2,2,3,2,2,2,20,24
a3fb932964644789be3f3b0321683af4,1,1,2,0,0,0,0,1,0,0,1,0,1,14,8
b130f76ad4324a4ab9902a9b1066b972,1,2,4,0,1,1,0,0,0,1,0,0,0,2,2
162b817ff6334732bb895841ba865327,1,1,2,0,0,0,6,0,0,0,0,2,0,24,18
c237d7a64f2a406c94978dd76273d868,1,5,9,0,5,2,2,5,-1000,-1000,-1000,-1000,-1000,18,28
02d2024679c34f70b059efc5a43b0b73,1,4,7,0,1,6,2,6,0,3,6,2,6,2,6
b130f76ad4324a4ab9902a9b1066b972,1,3,5,0,0,1,0,1,0,0,1,1,1,2,2
c237d7a64f2a406c94978dd76273d868,1,5,10,0,5,2,2,5,-1000,-1000,-1000,-1000,-1000,28,38
8148bf66fbe4451082f0dfac4f1fb3f3,1,1,1,1,1,1,0,0,1,1,0,0,0,20,14
b130f76ad4324a4ab9902a9b1066b972,1,3,6,1,0,0,1,0,1,1,0,1,0,2,3
02d2024679c34f70b059efc5a43b0b73,1,4,8,0,1,6,2,6,0,3,6,2,6,6,10
8148bf66fbe4451082f0dfac4f1fb3f3,1,1,2,0,0,0,1,1,0,1,0,1,1,14,15
d916c500b6b148dab6147e5e509a834d,1,1,1,6,6,6,0,0,6,5,6,1,0,20,14
162b817ff6334732bb895841ba865327,1,2,3,1,3,2,1,2,1,5,2,1,2,18,25
a3fb932964644789be3f3b0321683af4,1,2,3,0,0,0,1,0,0,1,0,1,0,8,9
162b817ff6334732bb895841ba865327,1,2,4,2,3,5,0,0,2,3,5,0,1,25,19
02d2024679c34f70b059efc5a43b0b73,1,5,9,0,3,6,2,6,0,5,6,2,6,10,17
a3fb932964644789be3f3b0321683af4,1,2,4,0,0,0,1,0,0,1,0,1,0,9,10
3dd4d25648334cd098d48d5fef67c575,1,1,1,6,0,0,0,0,6,0,0,1,0,20,15
d916c500b6b148dab6147e5e509a834d,1,1,2,6,6,0,6,0,6,6,1,6,0,14,8
b130f76ad4324a4ab9902a9b1066b972,1,4,7,1,0,1,1,0,1,1,1,1,0,3,4
